Id,Category
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,1
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,0
355,0
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,1
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,0
488,0
489,0
490,0
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,0
499,0
500,0
501,1
502,1
503,0
504,1
505,1
506,1
507,0
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,1
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,0
545,1
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,0
556,1
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,1
565,0
566,0
567,0
568,1
569,0
570,1
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,0
589,0
590,1
591,0
592,0
593,0
594,1
595,0
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,1
610,1
611,0
612,0
613,1
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,1
622,0
623,1
624,1
625,0
626,1
627,0
628,0
629,0
630,1
631,1
632,1
633,0
634,1
635,0
636,0
637,0
638,0
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,1
647,0
648,1
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,1
658,1
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,1
689,0
690,1
691,0
692,1
693,0
694,1
695,0
696,1
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,1
706,1
707,1
708,0
709,0
710,0
711,1
712,1
713,1
714,1
715,0
716,1
717,0
718,0
719,1
720,1
721,0
722,1
723,0
724,1
725,0
726,0
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,1
744,1
745,1
746,0
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,1
762,0
763,1
764,0
765,1
766,0
767,1
768,0
769,0
770,1
771,1
772,0
773,0
774,1
775,0
776,1
777,1
778,0
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,0
801,0
802,0
803,1
804,0
805,1
806,0
807,1
808,1
809,1
810,0
811,0
812,1
813,0
814,1
815,0
816,1
817,0
818,1
819,0
820,0
821,1
822,1
823,0
824,1
825,1
826,1
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,1
835,0
836,0
837,0
838,0
839,0
840,1
841,1
842,1
843,0
844,0
845,0
846,1
847,1
848,0
849,0
850,0
851,0
852,0
853,1
854,0
855,0
856,0
857,1
858,0
859,0
860,1
861,0
862,0
863,1
864,1
865,1
866,0
867,1
868,1
869,1
870,1
871,0
872,0
873,0
874,1
875,0
876,0
877,0
878,0
879,1
880,0
881,0
882,0
883,0
884,1
885,0
886,0
887,0
888,0
889,1
890,0
891,1
892,1
893,1
894,0
895,0
896,1
897,0
898,1
899,1
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,1
910,1
911,0
912,1
913,0
914,0
915,0
916,1
917,1
918,1
919,0
920,1
921,0
922,0
923,1
924,0
925,0
926,0
927,0
928,1
929,0
930,0
931,1
932,0
933,1
934,1
935,0
936,0
937,0
938,1
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,0
947,0
948,1
949,1
950,0
951,0
952,1
953,1
954,0
955,0
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,1
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,0
987,0
988,1
989,0
990,0
991,0
992,0
993,1
994,1
995,0
996,0
997,1
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,0
1008,1
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,0
1017,0
1018,0
1019,0
1020,1
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,1
1046,1
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,1
1061,0
1062,1
1063,1
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1074,1
1075,1
1076,0
1077,0
1078,0
1079,1
1080,0
1081,1
1082,0
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,0
1095,1
1096,1
1097,0
1098,1
1099,1
1100,1
1101,0
1102,1
1103,0
1104,1
1105,1
1106,1
1107,1
1108,0
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,1
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,1
1131,1
1132,0
1133,1
1134,1
1135,0
1136,1
1137,1
1138,0
1139,0
1140,0
1141,1
1142,0
1143,1
1144,0
1145,0
1146,1
1147,0
1148,0
1149,0
1150,0
1151,0
